name,ra (J2000 hrs),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),rv (km/s),vmag (Johnson V),sptype,vsini,exptime (sec),fauexptime (sec),active,finder,comment
HD14412,2.3162513,-25.94569,0,0,0,0,6.34,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=34.7437695&d=-25.94569&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD16160,2.6013593,6.88687,0,0,0,0,5.83,K3,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=39.0203895&d=6.88687&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD17230,2.771466,11.77524,0,0,0,0,8.574,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=41.57199&d=11.77524&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD18143,2.927516,26.87322,0,0,0,0,7.58,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=43.91274&d=26.87322&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD18803,3.0405633,26.60924,0,0,0,0,6.624,G8,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=45.6084495&d=26.60924&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD20165,3.246452,8.98079,0,0,0,0,7.8,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=48.69678&d=8.98079&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD20619,3.3171927,-2.84319,0,0,0,0,7.039,G1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=49.7578905&d=-2.84319&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD22879,3.672796,-3.21698,0,0,0,0,6.667,F9,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=55.09194&d=-3.21698&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD23356,3.73204,-19.1109,0,0,0,0,7.081,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=55.9806&d=-19.1109&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD23439,3.7839213,41.42726,0,0,0,0,8.78,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=56.7588195&d=41.42726&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD24238,3.917734,61.16681,0,0,0,0,7.85,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=58.76601&d=61.16681&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD24496,3.9077867,16.61605,0,0,0,0,6.81,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=58.6168005&d=16.61605&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD25329,4.0541667,35.27328,0,0,0,0,8.5,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=60.8125005&d=35.27328&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD25665,4.1597333,69.54139,0,0,0,0,7.697,G5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=62.3959995&d=69.54139&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD26965,4.2545333,-7.65287,0,0,0,0,4.41,K1,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=63.8179995&d=-7.65287&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD29883,4.72651,27.6874,0,0,0,0,8.01,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=70.89765&d=27.6874&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD32923,5.1241687,18.64505,0,0,0,0,5.01,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=76.8625305&d=18.64505&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD34721,5.31402,-18.13005,0,0,0,0,5.96,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=79.7103&d=-18.13005&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD34411,5.3190207,40.09905,0,0,0,0,4.7,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=79.7853105&d=40.09905&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD36003,5.4739153,-3.49956,0,0,0,0,7.642,K5,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=82.1087295&d=-3.49956&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD37008,5.636628,51.44574,0,0,0,0,7.73,K2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=84.54942&d=51.44574&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD38230,5.7671907,37.28465,0,0,0,0,7.36,K0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=86.5078605&d=37.28465&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD38858,5.809706,-4.09465,0,0,0,0,5.966,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=87.14559&d=-4.09465&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD40397,5.9726487,-4.65067,0,0,0,0,6.984,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=89.5897305&d=-4.65067&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD42618,6.2001573,6.78307,0,0,0,0,6.839,G4,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=93.0023595&d=6.78307&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD45184,6.4121887,-28.78011,0,0,0,0,6.374,G2,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=96.1828305&d=-28.78011&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD48682,6.7789827,43.57743,0,0,0,0,5.252,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=101.6847405&d=43.57743&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD50692,6.921852,25.3757,0,0,0,0,5.76,G0,,1800,5,0,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=103.82778&d=25.3757&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
